data,hora,municipio,causa_acidente,tipo_acidente,latitude,longitude
2020-12-30,17:40:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.87206203,-43.146105
2018-02-02,09:22:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.86981966,-43.17498207
2018-02-10,18:30:00,TANGUA,Falta de Atenção à Condução,Colisão traseira,-22.729362,-42.701134
2018-04-03,06:58:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.782822,-42.976677
2018-04-23,10:00:00,RIO BONITO,Falta de Atenção à Condução,Colisão traseira,-22.718523,-42.686893
2018-06-01,16:30:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.88518,-43.217045
2018-06-11,17:15:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.791161,-43.01516
2018-06-12,08:15:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.86707081,-43.19599987
2018-06-24,11:25:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.87815218,-43.11046958
2018-07-13,14:00:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.8849062,-43.1136734
2018-07-15,07:40:00,PARATY,Falta de Atenção à Condução,Colisão traseira,-23.06798583,-44.69363809
2018-07-29,15:57:00,ITABORAI,Falta de Atenção à Condução,Colisão traseira,-22.763668,-42.90226
2018-05-04,16:47:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.88518,-43.217045
2018-08-21,08:20:00,CAMPOS DOS GOYTACAZES,Falta de Atenção à Condução,Colisão traseira,-21.771872,-41.357059
2018-08-22,06:15:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.782822,-42.976677
2018-08-22,07:50:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.878471,-43.21072
2018-08-23,08:30:00,CAMPOS DOS GOYTACAZES,Falta de Atenção à Condução,Colisão traseira,-21.760904,-41.347889
2018-08-29,13:20:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.88518,-43.217045
2018-08-30,09:30:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.794992,-43.034481
2018-08-30,07:45:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.87111399,-43.16047668
